tSchool;Schooljaar;Profiel;Geslacht;Examenkandidaten;Geslaagden;Slaagpercentage
02. 41208-20CK-000;22-23;N&G;Vrouw;12;10;83.3
02. 41208-20CK-000;22-23;N&G/C&M;Vrouw;0;0;0.0
02. 41208-20CK-000;22-23;N&G/E&M;Man;0;0;0.0
02. 41208-20CK-000;22-23;N&G/E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;22-23;N&T/C&M;Man;0;0;0.0
02. 41208-20CK-000;22-23;N&T/C&M;Vrouw;0;0;0.0
02. 41208-20CK-000;22-23;N&T/E&M;Man;0;0;0.0
02. 41208-20CK-000;22-23;N&T/E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;22-23;N&T/N&G;Man;30;28;93.3
02. 41208-20CK-000;22-23;N&T/N&G;Vrouw;20;17;85.0
02. 41208-20CK-000;23-24;C&M;Vrouw;7;7;100.0
02. 41208-20CK-000;23-24;E&M;Man;0;0;0.0
02. 41208-20CK-000;23-24;E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;23-24;E&M/C&M;Man;10;10;100.0
02. 41208-20CK-000;23-24;E&M/C&M;Vrouw;13;12;92.3
02. 41208-20CK-000;23-24;N&G;Man;7;6;85.7
02. 41208-20CK-000;23-24;N&G;Vrouw;6;5;83.3
02. 41208-20CK-000;23-24;N&G/C&M;Vrouw;0;0;0.0
02. 41208-20CK-000;23-24;N&G/E&M;Man;0;0;0.0
02. 41208-20CK-000;23-24;N&T/C&M;Man;0;0;0.0
02. 41208-20CK-000;23-24;N&T/C&M;Vrouw;0;0;0.0
02. 41208-20CK-000;23-24;N&T/E&M;Man;0;0;0.0
02. 41208-20CK-000;23-24;N&T/E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;23-24;N&T/N&G;Man;27;27;100.0
02. 41208-20CK-000;23-24;N&T/N&G;Vrouw;24;24;100.0
02. 41208-20CK-000;24-25;C&M;Vrouw;7;5;71.4
02. 41208-20CK-000;24-25;E&M/C&M;Man;6;6;100.0
02. 41208-20CK-000;24-25;E&M/C&M;Vrouw;18;17;94.4
02. 41208-20CK-000;24-25;N&G;Man;6;6;100.0
02. 41208-20CK-000;24-25;N&G;Vrouw;7;7;100.0
02. 41208-20CK-000;24-25;N&G/C&M;Man;0;0;0.0
02. 41208-20CK-000;24-25;N&G/C&M;Vrouw;0;0;0.0
02. 41208-20CK-000;24-25;N&G/E&M;Man;0;0;0.0
02. 41208-20CK-000;24-25;N&G/E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;24-25;N&T/E&M;Man;0;0;0.0
02. 41208-20CK-000;24-25;N&T/E&M;Vrouw;0;0;0.0
02. 41208-20CK-000;24-25;N&T/N&G;Man;18;17;94.4
02. 41208-20CK-000;24-25;N&T/N&G;Vrouw;22;22;100.0
03. 13556-21AB-000;21-22;C&M;Vrouw;9;9;100.0
03. 13556-21AB-000;21-22;E&M/C&M;Man;16;16;100.0
03. 13556-21AB-000;21-22;E&M/C&M;Vrouw;27;27;100.0
03. 13556-21AB-000;21-22;N&G;Man;7;7;100.0
03. 13556-21AB-000;21-22;N&G/C&M;Man;0;0;0.0
03. 13556-21AB-000;21-22;N&G/C&M;Vrouw;0;0;0.0
03. 13556-21AB-000;21-22;N&G/E&M;Man;0;0;0.0
03. 13556-21AB-000;21-22;N&G/E&M;Vrouw;0;0;0.0
03. 13556-21AB-000;21-22;N&T;Man;5;5;100.0
03. 13556-21AB-000;21-22;N&T/N&G;Man;17;16;94.1
03. 13556-21AB-000;21-22;N&T/N&G;Vrouw;26;26;100.0
03. 13556-21AB-000;22-23;C&M;Vrouw;11;10;90.9
03. 13556-21AB-000;22-23;E&M/C&M;Man;19;18;94.7
03. 13556-21AB-000;22-23;E&M/C&M;Vrouw;29;28;96.6
03. 13556-21AB-000;22-23;N&G;Vrouw;5;5;100.0
03. 13556-21AB-000;22-23;N&G/C&M;Man;0;0;0.0
03. 13556-21AB-000;22-23;N&G/C&M;Vrouw;0;0;0.0
03. 13556-21AB-000;22-23;N&G/E&M;Man;0;0;0.0
03. 13556-21AB-000;22-23;N&G/E&M;Vrouw;0;0;0.0
03. 13556-21AB-000;22-23;N&T/N&G;Man;9;9;100.0
03. 13556-21AB-000;22-23;N&T/N&G;Vrouw;19;19;100.0
03. 13556-21AB-000;23-24;C&M;Man;6;6;100.0
03. 13556-21AB-000;23-24;C&M;Vrouw;12;12;100.0
